i,left_arc,right_arc
0,363.34,365.41
1,336.12,343.67
2,135.19,141.75
3,92.73,100.02
4,88.49,100.02
5,80.0,100.06
6,62.52,100.02
7,39.2,100.05
8,37.69,100.02
9,60.17,100.06
10,78.21,100.04
11,87.11,100.07
12,91.43,100.07
13,93.73,100.05
14,238.47,249.39
15,619.4,639.81
16,264.69,277.19
17,102.16,109.77
18,90.09,100.0
19,84.56,100.07
20,72.8,100.03
21,51.15,100.07
22,34.19,100.04
23,47.13,100.01
24,70.32,100.01
25,83.88,100.01
26,90.45,100.08
27,93.83,100.1
28,99.85,104.35
29,335.96,343.51
30,728.87,728.87
31,343.55,336.0
32,141.86,135.3
33,100.02,92.72
34,100.01,88.49
35,100.05,79.99
36,100.01,62.51
37,100.05,39.19
38,100.02,37.7
39,100.06,60.18
40,100.05,78.22
41,100.07,87.11
42,100.07,91.44
43,100.05,93.74
44,249.39,238.48
45,639.81,619.4
46,277.18,264.68
47,109.66,102.06
48,100.01,90.1
49,100.0,84.51
50,100.04,72.83
51,100.0,51.15
52,100.04,34.19
53,100.0,47.08
54,100.07,70.33
55,100.08,83.93
56,100.08,90.44
57,100.1,93.82
58,104.34,99.85
59,343.64,336.08
60,365.4,363.32
