i,left_arc,right_arc
0,170.07,200.09
1,127.31,200.02
2,102.68,200.07
3,152.28,200.12
4,179.17,200.05
5,188.49,200.15
6,192.36,200.1
7,2737.43,2789.67
8,190.88,200.07
9,181.84,200.01
10,136.57,200.01
11,37.95,200.02
12,141.74,200.07
13,182.7,200.12
14,193.15,202.33
15,1309.66,1342.18
16,189.87,200.05
17,156.91,200.01
18,62.31,200.03
19,149.43,200.01
20,189.86,200.01
21,801.59,816.45
22,985.1,996.41
23,1078.23,1099.19
24,193.5,202.79
25,182.87,200.08
26,152.04,200.07
27,68.25,200.03
28,121.55,200.06
29,176.03,200.14
30,188.68,200.02
31,193.03,200.03
32,891.33,907.44
33,2209.95,2232.83
34,1136.03,1158.69
35,230.25,241.31
36,163.72,177.26
