0.028: 0xDECA1A12B113CC2E initial-position: x=0 y=1000 z=0 q=100
0.028: 0xDECAA9566A21919B initial-position: x=0 y=0 z=1000 q=100
0.028: 0xDECAB8F74901D633 initial-position: x=1000 y=0 z=0 q=100
0.028: 0xDECAF57F6B829325 initial-position: x=0 y=0 z=0 q=100
71.101: started location data observation of E1:FA:B6:92:E7:D8
71.146: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2309, quality=100}, CC2E distance=Distance{length=4468, quality=100}, D633 distance=Distance{length=1882, quality=100}, 919B distance=Distance{length=643, quality=100}
71.246: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2290, quality=100}, CC2E distance=Distance{length=4468, quality=100}, D633 distance=Distance{length=3016, quality=100}, 919B distance=Distance{length=578, quality=100}
71.346: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2351, quality=100}, CC2E distance=Distance{length=4454, quality=100}, D633 distance=Distance{length=1892, quality=100}, 919B distance=Distance{length=606, quality=100}
71.450: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2318, quality=100}, CC2E distance=Distance{length=4478, quality=100}, D633 distance=Distance{length=1915, quality=100}, 919B distance=Distance{length=657, quality=100}
71.545: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2196, quality=100}, CC2E distance=Distance{length=4468, quality=100}, D633 distance=Distance{length=1840, quality=100}, 919B distance=Distance{length=573, quality=100}
71.641: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2356, quality=100}, CC2E distance=Distance{length=4473, quality=100}, D633 distance=Distance{length=1901, quality=100}, 919B distance=Distance{length=596, quality=100}
71.742: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2468, quality=100}, CC2E distance=Distance{length=4473, quality=100}, D633 distance=Distance{length=2388, quality=100}, 919B distance=Distance{length=704, quality=100}
71.840: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2421, quality=100}, CC2E distance=Distance{length=4473, quality=100}, D633 distance=Distance{length=1897, quality=100}, 919B distance=Distance{length=606, quality=100}
71.939: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2295, quality=100}, CC2E distance=Distance{length=4487, quality=100}, D633 distance=Distance{length=2974, quality=100}, 919B distance=Distance{length=540, quality=100}
72.055: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2417, quality=100}, CC2E distance=Distance{length=4497, quality=100}, D633 distance=Distance{length=2960, quality=100}, 919B distance=Distance{length=582, quality=100}
72.137: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2266, quality=100}, CC2E distance=Distance{length=4431, quality=100}, D633 distance=Distance{length=2327, quality=100}, 919B distance=Distance{length=615, quality=100}
72.240: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2384, quality=100}, CC2E distance=Distance{length=4483, quality=100}, D633 distance=Distance{length=2384, quality=100}, 919B distance=Distance{length=629, quality=100}
72.356: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2435, quality=100}, CC2E distance=Distance{length=4407, quality=100}, D633 distance=Distance{length=2969, quality=100}, 919B distance=Distance{length=615, quality=100}
72.438: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2332, quality=100}, CC2E distance=Distance{length=4515, quality=100}, D633 distance=Distance{length=1906, quality=100}, 919B distance=Distance{length=700, quality=100}
72.537: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2374, quality=100}, CC2E distance=Distance{length=4497, quality=100}, D633 distance=Distance{length=2993, quality=100}, 919B distance=Distance{length=563, quality=100}
72.651: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2313, quality=100}, CC2E distance=Distance{length=4431, quality=100}, D633 distance=Distance{length=1906, quality=100}, 919B distance=Distance{length=601, quality=100}
